,Winner,NTurns
0,C,66
1,C,48
2,B,57
3,C,66
4,B,63
5,B,63
6,C,54
7,C,66
8,B,57
9,C,42
10,C,72
11,C,60
12,B,57
13,C,60
14,C,48
15,C,54
16,B,57
17,C,66
18,C,60
19,B,69
20,B,63
21,C,48
22,C,66
23,C,54
24,C,54
25,B,69
26,C,54
27,C,66
28,B,57
29,C,66
30,B,69
31,B,63
32,B,69
33,C,66
34,C,48
35,C,78
36,C,60
37,B,63
38,B,57
39,C,66
40,C,60
41,C,66
42,C,54
43,C,72
44,C,48
45,C,48
46,C,54
47,C,66
48,B,57
49,C,48
50,C,48
51,C,66
52,C,66
53,C,48
54,C,60
55,C,72
56,C,60
57,B,63
58,B,69
59,B,57
60,C,60
61,C,72
62,C,66
63,C,78
64,C,54
65,B,63
66,C,60
67,C,48
68,B,63
69,C,60
70,B,57
71,C,66
72,C,66
73,C,54
74,C,60
75,C,60
76,C,66
77,B,69
78,B,69
79,B,69
