,Winner,NTurns
0,C,54
1,C,54
2,C,48
3,C,48
4,B,57
5,C,54
6,C,54
7,C,54
8,B,69
9,B,63
10,C,66
11,B,63
12,C,66
13,C,54
14,C,48
15,C,66
16,C,66
17,C,54
18,C,42
19,C,60
20,C,66
21,B,69
22,B,63
23,C,66
24,C,66
25,B,69
26,C,60
27,C,60
28,C,66
29,C,54
30,B,63
31,C,60
32,B,63
33,C,54
34,C,60
35,C,60
36,B,63
37,B,69
38,C,66
39,C,60
40,B,69
41,C,66
42,C,72
43,C,54
44,C,54
45,C,48
46,C,60
47,C,54
48,C,60
49,B,63
50,C,66
51,C,60
52,B,57
53,C,54
54,C,66
55,B,63
56,B,69
57,B,63
58,C,66
59,C,66
60,C,60
61,C,60
62,B,63
63,C,54
64,C,72
65,C,66
66,C,60
67,C,66
68,B,63
69,C,78
70,C,66
71,C,72
72,C,60
73,C,60
74,B,69
75,B,57
76,C,60
77,C,72
78,C,66
79,C,60
