,Winner,NTurns
0,B,57
1,C,54
2,C,60
3,C,60
4,C,60
5,C,48
6,C,48
7,C,54
8,C,54
9,C,54
10,C,54
11,C,54
12,B,57
13,C,54
14,C,54
15,C,54
16,B,51
17,B,57
18,C,54
19,C,54
20,C,60
21,C,54
22,C,48
23,C,54
24,C,60
25,C,60
26,C,60
27,C,60
28,C,54
29,C,60
30,C,54
31,C,54
32,C,60
33,C,54
34,C,54
35,C,54
36,C,60
37,C,48
38,C,54
39,C,60
40,C,60
41,B,57
42,B,57
43,C,60
44,C,54
45,C,60
46,C,60
47,C,54
48,C,54
49,C,54
50,C,60
51,C,48
52,C,54
53,C,60
54,C,48
55,C,60
56,C,60
57,C,48
58,B,51
59,C,54
60,C,54
61,C,60
62,C,60
63,C,54
64,C,60
65,C,54
66,B,57
67,C,60
68,C,54
69,C,54
70,C,60
71,C,54
72,C,60
73,B,51
74,C,60
75,C,60
76,C,54
77,C,54
78,C,60
79,C,54
