,Winner,NTurns
0,C,54
1,B,57
2,C,66
3,C,72
4,C,60
5,C,60
6,C,54
7,C,60
8,B,69
9,C,54
10,C,66
11,C,54
12,B,63
13,C,60
14,B,57
15,C,42
16,C,60
17,B,69
18,B,69
19,C,60
20,C,66
21,B,57
22,C,60
23,C,60
24,B,57
25,B,63
26,C,54
27,C,60
28,C,66
29,B,63
30,C,66
31,C,66
32,C,54
33,C,54
34,B,63
35,B,63
36,C,66
37,B,63
38,B,69
39,B,57
40,C,60
41,B,69
42,C,66
43,B,75
44,C,66
45,B,69
46,C,60
47,B,63
48,C,66
49,C,60
50,C,60
51,C,60
52,C,66
53,C,66
54,C,60
55,B,69
56,C,48
57,B,57
58,C,60
59,C,90
60,C,60
61,C,60
62,B,75
63,C,54
64,B,57
65,C,54
66,C,72
67,B,63
68,B,57
69,B,69
70,B,81
71,C,60
72,B,63
73,B,57
74,C,60
75,B,57
76,C,84
77,B,63
78,C,66
79,B,63
