,Winner,NTurns
0,B,122
1,C,143
2,C,95
3,C,89
4,C,179
5,C,101
6,B,140
7,B,152
8,C,155
9,B,230
10,B,128
11,B,92
12,B,194
13,B,98
14,B,92
15,C,119
16,C,83
17,C,191
18,B,176
19,B,212
20,B,140
21,B,146
22,B,140
23,C,131
24,B,176
25,C,83
26,C,125
27,B,128
28,C,95
29,B,182
30,B,86
31,B,68
32,C,125
33,C,119
34,B,170
35,B,62
36,B,158
37,B,230
38,B,116
39,D,601
40,C,131
41,C,173
42,C,179
43,B,230
44,B,140
45,C,143
46,C,137
47,C,101
48,B,164
49,C,185
50,C,113
51,B,194
52,C,149
53,B,206
54,C,239
55,C,95
56,B,116
57,B,134
58,C,101
59,B,176
60,C,131
61,B,122
62,B,56
63,C,113
64,B,338
65,C,371
66,B,116
67,B,158
68,B,158
69,C,77
70,B,122
71,B,422
72,C,65
73,B,98
74,B,140
75,B,164
76,B,110
77,B,554
78,B,92
79,C,137
