,Winner,NTurns
0,B,104
1,C,83
2,C,125
3,C,77
4,B,410
5,C,173
6,C,299
7,C,77
8,C,119
9,D,601
10,C,95
11,D,601
12,C,77
13,C,137
14,C,95
15,C,83
16,C,95
17,C,83
18,C,359
19,D,601
20,C,89
21,C,131
22,C,101
23,C,521
24,D,601
25,C,419
26,D,601
27,C,137
28,C,71
29,C,95
30,C,77
31,C,299
32,D,601
33,D,601
34,C,119
35,C,215
36,C,173
37,C,179
38,D,601
39,C,131
40,D,601
41,C,113
42,C,275
43,C,389
44,C,377
45,C,101
46,C,83
47,C,131
48,C,59
49,D,601
50,B,488
51,C,179
52,C,143
53,C,413
54,C,149
55,C,59
56,D,601
57,C,317
58,D,601
59,C,89
60,C,143
61,D,601
62,C,527
63,C,125
64,C,137
65,C,113
66,D,601
67,C,479
68,B,326
69,C,353
70,C,305
71,C,269
72,D,601
73,D,601
74,C,161
75,C,587
76,D,601
77,C,59
78,D,601
79,C,65
