,Winner,NTurns
0,D,601
1,C,143
2,C,59
3,C,551
4,C,311
5,B,188
6,C,59
7,C,119
8,C,107
9,C,59
10,C,581
11,D,601
12,C,125
13,C,83
14,C,47
15,C,101
16,D,601
17,C,125
18,C,209
19,C,143
20,D,601
21,C,515
22,C,77
23,D,601
24,C,125
25,C,257
26,C,119
27,C,437
28,C,245
29,C,65
30,D,601
31,D,601
32,C,89
33,C,161
34,C,53
35,C,95
36,C,113
37,C,581
38,D,601
39,C,275
40,C,251
41,D,601
42,D,601
43,B,56
44,D,601
45,C,107
46,C,101
47,C,407
48,D,601
49,C,125
50,C,209
51,D,601
52,C,137
53,D,601
54,C,365
55,C,563
56,C,131
57,C,77
58,D,601
59,C,77
60,D,601
61,C,197
62,C,497
63,D,601
64,C,101
65,D,601
66,D,601
67,C,371
68,C,95
69,C,131
70,D,601
71,C,593
72,C,197
73,C,203
74,C,65
75,C,527
76,C,149
77,C,107
78,C,533
79,D,601
