,Winner,NTurns
0,C,65
1,B,140
2,C,77
3,D,601
4,D,601
5,C,53
6,C,95
7,D,601
8,D,601
9,C,137
10,C,95
11,B,164
12,D,601
13,D,601
14,B,332
15,D,601
16,B,272
17,B,596
18,C,107
19,C,113
20,D,601
21,D,601
22,D,601
23,D,601
24,B,428
25,C,59
26,C,59
27,B,302
28,D,601
29,B,230
30,D,601
31,B,434
32,C,125
33,D,601
34,D,601
35,D,601
36,D,601
37,B,266
38,C,65
39,C,95
40,B,200
41,D,601
42,B,566
43,B,368
44,D,601
45,B,152
46,B,284
47,D,601
48,C,143
49,D,601
50,B,158
51,D,601
52,D,601
53,D,601
54,D,601
55,C,167
56,D,601
57,D,601
58,C,107
59,C,59
60,C,71
61,D,601
62,D,601
63,D,601
64,C,149
65,D,601
66,B,332
67,B,236
68,D,601
69,B,374
70,D,601
71,D,601
72,B,218
73,D,601
74,C,65
75,D,601
76,D,601
77,C,131
78,B,536
79,D,601
