,Winner,NTurns
0,D,601
1,D,601
2,C,113
3,B,128
4,C,425
5,C,179
6,C,95
7,C,113
8,C,95
9,C,125
10,B,356
11,D,601
12,C,161
13,C,77
14,D,601
15,C,245
16,C,83
17,C,395
18,C,83
19,C,299
20,B,122
21,D,601
22,B,290
23,D,601
24,C,101
25,D,601
26,C,83
27,D,601
28,C,239
29,B,398
30,D,601
31,C,167
32,C,65
33,C,77
34,D,601
35,D,601
36,D,601
37,D,601
38,B,284
39,C,215
40,B,182
41,D,601
42,B,512
43,C,95
44,D,601
45,D,601
46,C,107
47,D,601
48,D,601
49,C,263
50,D,601
51,D,601
52,D,601
53,D,601
54,D,601
55,D,601
56,C,71
57,D,601
58,D,601
59,C,71
60,C,89
61,D,601
62,B,416
63,D,601
64,D,601
65,C,341
66,C,71
67,D,601
68,C,395
69,D,601
70,D,601
71,B,296
72,C,119
73,C,167
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
