,Winner,NTurns
0,D,601
1,C,65
2,C,89
3,C,161
4,C,83
5,C,131
6,C,143
7,C,125
8,C,95
9,C,71
10,C,65
11,C,161
12,C,125
13,C,65
14,C,161
15,D,601
16,C,77
17,C,335
18,C,113
19,C,191
20,C,149
21,D,601
22,C,113
23,C,83
24,C,77
25,C,59
26,C,329
27,B,44
28,C,107
29,D,601
30,D,601
31,C,113
32,C,149
33,C,119
34,C,83
35,C,185
36,D,601
37,C,83
38,C,443
39,C,71
40,C,65
41,B,44
42,C,371
43,C,59
44,C,83
45,C,497
46,C,371
47,C,89
48,D,601
49,C,425
50,D,601
51,C,167
52,C,95
53,C,101
54,C,179
55,C,287
56,C,347
57,C,65
58,C,359
59,D,601
60,D,601
61,C,113
62,C,425
63,C,467
64,C,101
65,D,601
66,D,601
67,C,65
68,C,77
69,C,71
70,C,83
71,D,601
72,C,203
73,D,601
74,C,53
75,D,601
76,C,593
77,C,113
78,D,601
79,C,359
