,Winner,NTurns
0,C,203
1,C,95
2,D,601
3,B,428
4,C,293
5,B,272
6,B,80
7,C,503
8,C,107
9,B,152
10,C,65
11,C,539
12,C,131
13,C,119
14,D,601
15,D,601
16,C,83
17,D,601
18,B,248
19,B,62
20,B,104
21,C,89
22,D,601
23,D,601
24,B,140
25,D,601
26,C,359
27,D,601
28,C,113
29,C,425
30,C,143
31,C,401
32,D,601
33,B,356
34,C,425
35,B,122
36,B,86
37,D,601
38,D,601
39,D,601
40,B,110
41,D,601
42,B,224
43,D,601
44,B,74
45,B,128
46,C,29
47,D,601
48,C,599
49,D,601
50,C,107
51,D,601
52,D,601
53,D,601
54,D,601
55,C,143
56,D,601
57,D,601
58,C,263
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,B,110
66,B,128
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,C,245
75,D,601
76,D,601
77,D,601
78,C,317
79,D,601
