,Winner,NTurns
0,D,601
1,D,601
2,D,601
3,D,601
4,D,601
5,C,335
6,C,65
7,D,601
8,D,601
9,C,77
10,D,601
11,D,601
12,D,601
13,B,98
14,D,601
15,D,601
16,C,161
17,D,601
18,D,601
19,D,601
20,D,601
21,D,601
22,D,601
23,D,601
24,D,601
25,B,188
26,D,601
27,D,601
28,D,601
29,D,601
30,D,601
31,D,601
32,B,254
33,D,601
34,C,209
35,D,601
36,B,332
37,D,601
38,D,601
39,D,601
40,D,601
41,D,601
42,D,601
43,D,601
44,D,601
45,D,601
46,D,601
47,D,601
48,D,601
49,D,601
50,B,356
51,B,284
52,D,601
53,D,601
54,D,601
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,D,601
67,C,377
68,D,601
69,C,113
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,B,320
