,Winner,NTurns
0,D,601
1,C,71
2,C,65
3,C,383
4,C,89
5,C,137
6,D,601
7,C,209
8,C,53
9,B,56
10,C,293
11,C,383
12,C,131
13,C,77
14,C,83
15,B,218
16,C,203
17,C,59
18,C,245
19,C,83
20,D,601
21,C,173
22,C,221
23,C,95
24,C,203
25,D,601
26,C,29
27,C,83
28,D,601
29,C,119
30,C,281
31,C,263
32,D,601
33,C,101
34,C,155
35,C,275
36,C,371
37,C,263
38,C,71
39,C,77
40,C,77
41,C,227
42,C,491
43,C,209
44,C,77
45,C,221
46,D,601
47,B,56
48,C,173
49,C,293
50,D,601
51,C,113
52,C,359
53,C,113
54,C,173
55,C,431
56,C,167
57,D,601
58,C,113
59,C,113
60,C,89
61,C,83
62,C,179
63,D,601
64,B,194
65,C,395
66,C,269
67,D,601
68,C,77
69,D,601
70,B,62
71,C,323
72,C,215
73,D,601
74,C,215
75,C,59
76,C,443
77,C,431
78,C,551
79,D,601
