,Winner,NTurns
0,C,149
1,D,601
2,D,601
3,D,601
4,C,59
5,D,601
6,D,601
7,D,601
8,C,113
9,D,601
10,D,601
11,D,601
12,C,65
13,D,601
14,C,71
15,D,601
16,D,601
17,D,601
18,D,601
19,C,101
20,C,191
21,D,601
22,D,601
23,C,251
24,D,601
25,C,149
26,D,601
27,D,601
28,D,601
29,D,601
30,C,95
31,D,601
32,D,601
33,D,601
34,D,601
35,B,350
36,C,353
37,D,601
38,C,101
39,D,601
40,D,601
41,D,601
42,C,155
43,D,601
44,C,65
45,D,601
46,C,137
47,D,601
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,C,209
54,D,601
55,D,601
56,C,191
57,D,601
58,C,293
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,C,119
79,D,601
