,Winner,NTurns
0,C,167
1,D,601
2,D,601
3,D,601
4,D,601
5,C,149
6,D,601
7,D,601
8,D,601
9,C,185
10,D,601
11,D,601
12,B,86
13,D,601
14,D,601
15,C,173
16,D,601
17,D,601
18,D,601
19,D,601
20,D,601
21,B,200
22,D,601
23,D,601
24,C,251
25,D,601
26,D,601
27,D,601
28,D,601
29,D,601
30,D,601
31,D,601
32,D,601
33,D,601
34,D,601
35,C,71
36,D,601
37,B,98
38,D,601
39,D,601
40,D,601
41,D,601
42,B,332
43,D,601
44,D,601
45,D,601
46,D,601
47,D,601
48,D,601
49,D,601
50,D,601
51,B,434
52,D,601
53,D,601
54,D,601
55,C,59
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,C,353
64,D,601
65,D,601
66,D,601
67,D,601
68,B,110
69,D,601
70,D,601
71,D,601
72,D,601
73,C,287
74,D,601
75,D,601
76,C,569
77,B,116
78,D,601
79,D,601
