,Winner,NTurns
0,B,176
1,C,77
2,C,101
3,B,218
4,C,329
5,D,601
6,D,601
7,D,601
8,B,212
9,D,601
10,C,77
11,B,254
12,C,113
13,B,506
14,B,548
15,D,601
16,C,83
17,B,146
18,D,601
19,B,446
20,D,601
21,D,601
22,D,601
23,C,83
24,C,53
25,D,601
26,B,86
27,D,601
28,C,53
29,B,416
30,D,601
31,B,422
32,C,275
33,D,601
34,D,601
35,B,194
36,D,601
37,B,290
38,B,278
39,C,413
40,D,601
41,B,344
42,D,601
43,D,601
44,C,83
45,C,323
46,D,601
47,C,533
48,C,95
49,C,101
50,C,359
51,D,601
52,D,601
53,D,601
54,D,601
55,C,125
56,B,224
57,C,311
58,C,287
59,D,601
60,D,601
61,D,601
62,D,601
63,C,89
64,D,601
65,C,137
66,C,185
67,D,601
68,D,601
69,B,458
70,C,239
71,D,601
72,D,601
73,C,209
74,C,545
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
