,Winner,NTurns
0,C,71
1,D,601
2,D,601
3,D,601
4,D,601
5,C,203
6,D,601
7,C,161
8,D,601
9,D,601
10,D,601
11,D,601
12,D,601
13,C,149
14,D,601
15,D,601
16,D,601
17,D,601
18,D,601
19,C,197
20,D,601
21,D,601
22,D,601
23,C,71
24,C,119
25,D,601
26,D,601
27,C,371
28,C,77
29,D,601
30,C,95
31,C,83
32,D,601
33,C,95
34,D,601
35,D,601
36,D,601
37,D,601
38,D,601
39,D,601
40,D,601
41,D,601
42,D,601
43,D,601
44,D,601
45,D,601
46,D,601
47,D,601
48,D,601
49,D,601
50,D,601
51,C,95
52,D,601
53,D,601
54,D,601
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,D,601
67,D,601
68,C,137
69,D,601
70,D,601
71,C,101
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
