,Winner,NTurns
0,D,601
1,C,137
2,D,601
3,D,601
4,D,601
5,D,601
6,D,601
7,D,601
8,D,601
9,D,601
10,C,131
11,D,601
12,D,601
13,D,601
14,D,601
15,D,601
16,D,601
17,D,601
18,C,233
19,D,601
20,C,191
21,D,601
22,D,601
23,D,601
24,D,601
25,D,601
26,D,601
27,D,601
28,C,131
29,D,601
30,D,601
31,D,601
32,D,601
33,D,601
34,D,601
35,D,601
36,D,601
37,D,601
38,C,227
39,D,601
40,D,601
41,D,601
42,D,601
43,D,601
44,D,601
45,D,601
46,C,65
47,D,601
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,C,95
54,D,601
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,C,371
62,D,601
63,D,601
64,D,601
65,D,601
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,C,467
72,D,601
73,B,596
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
