,Winner,NTurns
0,B,111
1,B,99
2,B,117
3,B,123
4,B,63
5,C,96
6,B,237
7,C,102
8,C,174
9,C,126
10,C,114
11,C,84
12,B,183
13,C,210
14,C,96
15,C,174
16,B,147
17,C,174
18,B,165
19,C,102
20,B,129
21,C,126
22,B,123
23,B,123
24,C,126
25,B,117
26,B,117
27,B,159
28,B,87
29,B,129
30,C,180
31,B,153
32,B,159
33,C,96
34,B,123
35,C,90
36,B,309
37,B,81
38,C,222
39,B,111
40,C,114
41,C,120
42,B,321
43,C,108
44,C,102
45,B,129
46,C,264
47,B,189
48,C,108
49,B,87
50,C,138
51,C,126
52,B,267
53,B,105
54,C,150
55,C,186
56,D,601
57,C,84
58,C,132
59,B,129
60,B,105
61,B,135
62,C,102
63,C,132
64,C,240
65,B,189
66,C,114
67,B,273
68,C,108
69,B,279
70,C,90
71,B,369
72,C,78
73,B,171
74,D,601
75,B,99
76,C,114
77,B,99
78,B,129
79,B,135
