,Winner,NTurns
0,C,120
1,C,126
2,C,150
3,C,228
4,B,99
5,B,87
6,C,144
7,C,126
8,C,66
9,C,144
10,C,180
11,B,81
12,C,90
13,C,108
14,B,93
15,C,120
16,B,123
17,B,87
18,B,87
19,B,105
20,C,90
21,B,99
22,C,120
23,C,138
24,C,114
25,C,102
26,C,144
27,B,63
28,B,219
29,B,75
30,B,123
31,B,117
32,C,90
33,B,459
34,B,171
35,C,114
36,C,60
37,B,153
38,B,129
39,C,96
40,B,81
41,B,99
42,C,132
43,C,144
44,C,96
45,C,264
46,B,135
47,B,105
48,B,57
49,C,150
50,C,336
51,B,75
52,C,78
53,C,222
54,C,150
55,C,72
56,B,147
57,B,111
58,C,180
59,C,54
60,C,84
61,B,297
62,C,120
63,C,144
64,B,75
65,C,54
66,B,81
67,D,601
68,B,75
69,C,96
70,C,90
71,B,63
72,D,601
73,B,135
74,B,75
75,B,69
76,B,129
77,C,144
78,D,601
79,C,516
