,Winner,NTurns
0,B,69
1,C,108
2,B,105
3,B,75
4,C,96
5,B,81
6,B,57
7,B,57
8,B,87
9,B,99
10,C,144
11,B,147
12,C,90
13,B,87
14,B,105
15,B,81
16,B,99
17,B,123
18,B,75
19,C,42
20,B,105
21,B,63
22,C,90
23,B,81
24,B,81
25,C,222
26,B,99
27,B,165
28,B,69
29,B,93
30,B,105
31,D,601
32,B,135
33,B,81
34,B,63
35,B,63
36,B,75
37,B,75
38,B,75
39,B,75
40,B,57
41,B,147
42,B,75
43,B,279
44,B,111
45,B,87
46,B,63
47,B,105
48,B,51
49,B,105
50,B,105
51,B,63
52,B,87
53,B,75
54,C,84
55,B,93
56,B,123
57,B,81
58,C,336
59,B,183
60,B,39
61,B,261
62,B,51
63,D,601
64,C,108
65,C,84
66,D,601
67,B,81
68,B,105
69,B,57
70,B,129
71,B,111
72,B,105
73,B,81
74,C,78
75,D,601
76,B,63
77,B,75
78,B,195
79,B,57
