,Winner,NTurns
0,B,87
1,B,99
2,B,63
3,B,93
4,C,108
5,B,51
6,B,75
7,C,144
8,B,63
9,C,114
10,B,153
11,C,96
12,B,69
13,B,75
14,B,105
15,C,162
16,B,87
17,B,87
18,B,93
19,B,69
20,B,51
21,B,135
22,B,69
23,B,81
24,C,102
25,C,96
26,C,246
27,B,51
28,B,93
29,C,306
30,B,105
31,C,240
32,C,96
33,C,90
34,B,105
35,B,123
36,C,276
37,C,174
38,B,81
39,C,396
40,C,318
41,C,180
42,C,564
43,B,57
44,B,171
45,B,81
46,C,90
47,B,129
48,B,69
49,B,99
50,B,399
51,C,156
52,C,156
53,B,51
54,B,51
55,B,423
56,B,201
57,B,57
58,B,63
59,B,129
60,C,360
61,B,69
62,C,312
63,B,111
64,C,96
65,C,126
66,C,108
67,C,96
68,C,504
69,C,438
70,C,426
71,C,84
72,B,435
73,B,69
74,B,117
75,B,135
76,D,601
77,C,126
78,C,126
79,B,123
