,Winner,NTurns
0,B,129
1,C,66
2,C,84
3,B,93
4,B,93
5,B,129
6,C,48
7,D,601
8,C,60
9,C,72
10,B,111
11,C,270
12,B,99
13,C,102
14,B,99
15,C,114
16,C,102
17,B,123
18,C,108
19,C,234
20,B,111
21,B,123
22,C,216
23,B,111
24,C,84
25,C,114
26,C,216
27,C,174
28,C,90
29,C,186
30,C,108
31,B,63
32,B,159
33,B,261
34,B,63
35,B,111
36,C,174
37,C,72
38,B,105
39,B,105
40,B,75
41,C,294
42,B,99
43,B,117
44,B,171
45,B,99
46,B,81
47,B,153
48,C,108
49,B,75
50,C,120
51,C,120
52,B,87
53,B,57
54,C,72
55,C,144
56,B,111
57,C,246
58,C,84
59,C,318
60,C,288
61,D,601
62,C,138
63,C,120
64,B,87
65,B,99
66,B,183
67,C,72
68,B,93
69,C,114
70,C,312
71,C,114
72,B,87
73,C,150
74,C,408
75,B,69
76,B,213
77,B,93
78,B,225
79,B,87
