,Winner,NTurns
0,B,87
1,B,69
2,C,114
3,C,60
4,B,363
5,C,120
6,B,117
7,B,111
8,B,153
9,C,90
10,C,228
11,C,84
12,C,66
13,B,123
14,B,153
15,C,108
16,B,69
17,C,78
18,B,135
19,B,561
20,B,99
21,C,72
22,B,129
23,B,147
24,C,168
25,B,381
26,B,159
27,B,111
28,B,201
29,C,72
30,B,93
31,B,279
32,B,87
33,B,123
34,C,372
35,C,138
36,C,96
37,B,189
38,B,111
39,B,111
40,C,72
41,C,102
42,B,75
43,C,204
44,B,279
45,B,147
46,C,108
47,C,252
48,B,159
49,C,150
50,C,102
51,C,114
52,C,78
53,B,183
54,B,99
55,C,84
56,B,423
57,B,117
58,B,561
59,C,90
60,C,108
61,B,123
62,C,96
63,C,300
64,B,111
65,B,129
66,B,195
67,B,141
68,B,249
69,B,381
70,B,99
71,B,81
72,B,105
73,B,243
74,C,432
75,C,294
76,B,327
77,B,87
78,C,108
79,B,129
