,Winner,NTurns
0,B,165
1,C,48
2,C,36
3,C,78
4,C,78
5,C,114
6,B,105
7,B,93
8,C,72
9,C,222
10,B,597
11,B,93
12,C,234
13,C,120
14,B,105
15,C,78
16,B,315
17,B,87
18,B,99
19,B,69
20,B,57
21,B,81
22,B,75
23,B,93
24,C,48
25,C,240
26,B,81
27,C,306
28,B,123
29,B,165
30,C,252
31,C,252
32,C,48
33,B,81
34,C,102
35,B,183
36,C,72
37,B,87
38,C,90
39,C,240
40,B,75
41,B,117
42,B,75
43,B,315
44,B,135
45,B,93
46,C,318
47,B,87
48,C,114
49,B,135
50,C,168
51,B,111
52,B,249
53,C,426
54,C,450
55,C,90
56,C,168
57,B,141
58,C,192
59,C,72
60,C,108
61,C,78
62,C,192
63,C,210
64,B,69
65,C,438
66,D,601
67,C,408
68,C,48
69,B,93
70,C,168
71,B,99
72,B,261
73,C,90
74,B,81
75,B,111
76,D,601
77,C,312
78,C,54
79,D,601
