,Winner,NTurns
0,C,150
1,B,81
2,C,90
3,C,108
4,B,75
5,C,72
6,B,87
7,B,189
8,B,129
9,B,75
10,B,93
11,C,120
12,B,87
13,B,87
14,B,63
15,C,384
16,B,69
17,B,57
18,B,105
19,C,228
20,B,81
21,B,225
22,C,84
23,B,63
24,C,72
25,D,601
26,B,201
27,B,117
28,B,87
29,C,72
30,C,48
31,D,601
32,B,57
33,B,327
34,C,72
35,B,45
36,B,87
37,C,198
38,D,601
39,C,114
40,C,132
41,B,81
42,C,84
43,C,90
44,C,228
45,B,255
46,C,150
47,C,408
48,B,87
49,B,75
50,C,354
51,B,285
52,B,117
53,B,75
54,B,81
55,B,153
56,B,87
57,C,150
58,D,601
59,B,105
60,C,246
61,B,201
62,B,87
63,D,601
64,B,153
65,B,75
66,C,120
67,B,81
68,B,75
69,C,282
70,C,108
71,B,99
72,C,168
73,C,312
74,C,384
75,B,117
76,B,75
77,C,234
78,C,246
79,B,63
