,Winner,NTurns
0,B,63
1,B,87
2,C,60
3,C,48
4,B,99
5,D,601
6,B,33
7,B,93
8,C,102
9,C,216
10,B,99
11,C,228
12,C,120
13,D,601
14,B,45
15,B,93
16,B,99
17,B,75
18,C,72
19,B,75
20,B,69
21,B,159
22,D,601
23,B,75
24,C,96
25,B,75
26,C,90
27,B,63
28,C,222
29,B,51
30,C,90
31,C,180
32,C,84
33,B,69
34,B,117
35,C,276
36,C,420
37,B,513
38,B,111
39,B,135
40,C,192
41,B,63
42,C,102
43,C,288
44,B,93
45,B,75
46,B,69
47,D,601
48,C,390
49,D,601
50,B,135
51,C,240
52,C,186
53,B,87
54,B,57
55,D,601
56,C,174
57,C,408
58,C,234
59,B,105
60,C,132
61,C,390
62,C,84
63,B,447
64,C,66
65,C,474
66,C,456
67,B,141
68,C,84
69,B,45
70,B,123
71,B,369
72,B,69
73,B,93
74,C,210
75,D,601
76,C,246
77,D,601
78,D,601
79,B,57
