,Winner,NTurns
0,C,48
1,B,87
2,C,60
3,C,66
4,B,147
5,C,198
6,C,72
7,B,183
8,B,117
9,B,87
10,C,78
11,C,108
12,C,84
13,C,60
14,B,435
15,C,84
16,B,111
17,B,135
18,D,601
19,B,153
20,D,601
21,B,93
22,C,108
23,C,96
24,D,601
25,C,78
26,B,399
27,C,60
28,B,243
29,B,81
30,B,303
31,C,126
32,D,601
33,B,105
34,C,90
35,B,153
36,B,201
37,C,114
38,C,150
39,B,69
40,C,156
41,B,357
42,B,99
43,C,102
44,C,108
45,B,261
46,B,105
47,C,366
48,C,90
49,B,345
50,C,90
51,C,120
52,D,601
53,C,186
54,C,132
55,B,147
56,B,165
57,B,405
58,C,90
59,B,219
60,C,108
61,B,573
62,B,93
63,C,156
64,C,108
65,C,288
66,B,471
67,C,120
68,D,601
69,B,585
70,C,162
71,C,186
72,B,99
73,C,102
74,C,210
75,C,540
76,C,132
77,C,372
78,C,60
79,C,582
