,Winner,NTurns
0,B,87
1,C,138
2,C,138
3,C,102
4,C,312
5,C,54
6,B,69
7,C,78
8,B,87
9,B,93
10,C,102
11,C,150
12,C,162
13,C,36
14,B,99
15,C,114
16,C,102
17,B,147
18,C,126
19,C,228
20,B,381
21,C,270
22,C,186
23,B,141
24,B,123
25,C,72
26,C,78
27,B,75
28,C,72
29,D,601
30,B,93
31,B,543
32,B,105
33,C,312
34,B,117
35,C,54
36,D,601
37,B,177
38,C,78
39,C,66
40,C,468
41,C,192
42,C,126
43,B,75
44,B,99
45,C,78
46,C,144
47,C,174
48,B,75
49,C,240
50,D,601
51,D,601
52,B,63
53,D,601
54,B,129
55,B,201
56,C,54
57,C,132
58,C,66
59,B,123
60,C,324
61,B,123
62,B,129
63,B,99
64,C,48
65,C,456
66,C,144
67,D,601
68,B,87
69,C,114
70,D,601
71,B,291
72,C,132
73,C,234
74,B,111
75,C,294
76,C,198
77,C,558
78,C,96
79,D,601
