,Winner,NTurns
0,B,297
1,C,150
2,C,156
3,B,165
4,C,72
5,C,90
6,C,252
7,C,54
8,C,60
9,C,54
10,C,54
11,C,120
12,B,51
13,C,120
14,B,183
15,C,246
16,B,63
17,D,601
18,B,117
19,C,414
20,C,168
21,C,144
22,C,144
23,C,306
24,C,90
25,B,147
26,B,123
27,C,84
28,C,186
29,B,159
30,C,96
31,B,105
32,C,96
33,D,601
34,B,117
35,D,601
36,C,168
37,B,81
38,C,72
39,C,360
40,C,72
41,C,132
42,B,87
43,C,132
44,C,180
45,C,258
46,C,54
47,D,601
48,D,601
49,B,249
50,C,234
51,D,601
52,B,93
53,B,153
54,C,312
55,B,201
56,C,96
57,C,102
58,C,246
59,C,264
60,C,276
61,D,601
62,C,90
63,D,601
64,C,42
65,D,601
66,B,81
67,C,54
68,D,601
69,C,42
70,D,601
71,B,135
72,C,438
73,C,126
74,B,285
75,B,99
76,C,198
77,B,117
78,D,601
79,C,276
