,Winner,NTurns
0,D,601
1,C,198
2,D,601
3,C,138
4,B,99
5,C,60
6,C,138
7,B,93
8,C,144
9,C,132
10,B,111
11,B,63
12,C,198
13,C,342
14,B,75
15,C,150
16,D,601
17,C,66
18,D,601
19,C,456
20,B,81
21,D,601
22,B,81
23,C,90
24,D,601
25,D,601
26,B,129
27,B,69
28,B,171
29,D,601
30,C,228
31,C,282
32,D,601
33,B,123
34,B,135
35,D,601
36,D,601
37,D,601
38,C,120
39,B,105
40,B,195
41,D,601
42,C,210
43,D,601
44,D,601
45,D,601
46,C,138
47,B,87
48,B,51
49,C,192
50,B,411
51,C,402
52,C,174
53,D,601
54,B,93
55,C,150
56,B,69
57,D,601
58,D,601
59,B,87
60,C,150
61,D,601
62,B,315
63,C,126
64,B,87
65,B,87
66,C,510
67,C,180
68,D,601
69,D,601
70,C,258
71,D,601
72,C,528
73,B,81
74,C,120
75,D,601
76,B,93
77,C,432
78,C,390
79,B,123
