,Winner,NTurns
0,D,601
1,D,601
2,C,72
3,D,601
4,D,601
5,C,126
6,D,601
7,D,601
8,B,81
9,D,601
10,C,240
11,B,105
12,D,601
13,D,601
14,D,601
15,D,601
16,D,601
17,D,601
18,C,114
19,C,306
20,C,162
21,C,180
22,D,601
23,D,601
24,D,601
25,D,601
26,D,601
27,D,601
28,C,426
29,D,601
30,D,601
31,C,132
32,D,601
33,D,601
34,D,601
35,D,601
36,C,114
37,D,601
38,D,601
39,C,186
40,D,601
41,C,444
42,C,210
43,B,357
44,D,601
45,D,601
46,D,601
47,D,601
48,D,601
49,C,288
50,D,601
51,C,114
52,B,69
53,D,601
54,D,601
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,D,601
67,D,601
68,D,601
69,C,198
70,B,141
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,B,369
77,D,601
78,C,228
79,D,601
