,Winner,NTurns
0,C,78
1,C,72
2,C,84
3,B,135
4,B,63
5,C,204
6,C,48
7,C,186
8,C,60
9,B,123
10,C,216
11,C,72
12,C,216
13,C,48
14,C,84
15,C,54
16,C,108
17,C,138
18,C,72
19,C,66
20,C,192
21,C,48
22,C,156
23,C,78
24,C,180
25,D,601
26,C,162
27,C,96
28,C,174
29,C,216
30,B,87
31,C,156
32,C,78
33,C,72
34,D,601
35,C,54
36,C,198
37,B,189
38,C,162
39,B,111
40,C,210
41,C,72
42,C,66
43,B,141
44,D,601
45,C,48
46,C,126
47,C,60
48,D,601
49,B,69
50,C,120
51,B,81
52,C,42
53,C,522
54,D,601
55,D,601
56,C,180
57,C,84
58,C,72
59,B,69
60,C,132
61,C,54
62,C,384
63,C,114
64,C,168
65,C,186
66,C,66
67,C,216
68,D,601
69,D,601
70,C,114
71,C,138
72,C,108
73,D,601
74,C,84
75,C,90
76,C,330
77,C,60
78,C,252
79,D,601
