,Winner,NTurns
0,C,174
1,B,93
2,B,75
3,D,601
4,B,93
5,C,222
6,C,60
7,D,601
8,C,156
9,C,66
10,D,601
11,C,60
12,B,141
13,C,192
14,C,90
15,C,102
16,C,288
17,D,601
18,D,601
19,C,60
20,D,601
21,C,60
22,D,601
23,C,108
24,D,601
25,C,198
26,C,108
27,B,99
28,C,72
29,C,72
30,C,66
31,D,601
32,B,111
33,C,66
34,D,601
35,C,138
36,C,192
37,C,468
38,C,180
39,C,240
40,D,601
41,C,240
42,C,102
43,C,306
44,C,78
45,C,228
46,B,279
47,C,126
48,B,225
49,D,601
50,C,222
51,B,81
52,D,601
53,C,144
54,B,207
55,C,156
56,C,72
57,D,601
58,D,601
59,D,601
60,C,318
61,B,141
62,D,601
63,C,246
64,C,60
65,D,601
66,D,601
67,D,601
68,D,601
69,C,78
70,C,198
71,C,174
72,D,601
73,C,54
74,D,601
75,D,601
76,C,156
77,D,601
78,D,601
79,D,601
