,Winner,NTurns
0,B,63
1,B,69
2,B,87
3,D,601
4,C,270
5,B,75
6,B,99
7,B,129
8,B,111
9,D,601
10,D,601
11,B,75
12,B,75
13,C,156
14,C,132
15,D,601
16,B,111
17,B,81
18,C,162
19,B,75
20,B,129
21,D,601
22,C,138
23,D,601
24,B,57
25,B,123
26,D,601
27,B,165
28,C,84
29,C,162
30,C,234
31,C,108
32,B,99
33,D,601
34,D,601
35,B,141
36,D,601
37,C,252
38,C,96
39,B,69
40,C,138
41,D,601
42,C,144
43,D,601
44,C,192
45,D,601
46,B,111
47,B,81
48,B,69
49,B,99
50,B,171
51,C,162
52,C,180
53,D,601
54,C,558
55,B,57
56,D,601
57,C,150
58,C,216
59,C,138
60,D,601
61,B,63
62,D,601
63,D,601
64,C,90
65,C,258
66,D,601
67,C,96
68,D,601
69,C,486
70,C,84
71,B,183
72,D,601
73,B,129
74,D,601
75,C,204
76,D,601
77,C,78
78,C,168
79,D,601
