,Winner,NTurns
0,C,120
1,D,601
2,C,54
3,C,168
4,C,252
5,D,601
6,C,132
7,C,156
8,C,360
9,D,601
10,D,601
11,B,189
12,B,105
13,B,141
14,D,601
15,C,126
16,D,601
17,D,601
18,D,601
19,B,63
20,C,258
21,B,285
22,B,75
23,D,601
24,D,601
25,B,177
26,D,601
27,D,601
28,D,601
29,D,601
30,C,180
31,D,601
32,D,601
33,B,69
34,D,601
35,D,601
36,D,601
37,C,120
38,D,601
39,B,123
40,D,601
41,D,601
42,C,78
43,B,111
44,C,552
45,C,198
46,D,601
47,D,601
48,D,601
49,C,324
50,D,601
51,D,601
52,D,601
53,D,601
54,D,601
55,D,601
56,D,601
57,D,601
58,D,601
59,C,102
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,C,264
66,B,63
67,B,231
68,D,601
69,C,324
70,C,234
71,D,601
72,D,601
73,B,207
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
