,Winner,NTurns
0,C,66
1,B,135
2,C,180
3,D,601
4,B,69
5,C,72
6,C,60
7,C,240
8,D,601
9,C,60
10,B,63
11,C,300
12,B,81
13,C,360
14,C,156
15,C,96
16,C,78
17,C,150
18,C,138
19,C,150
20,C,330
21,C,72
22,B,105
23,B,99
24,C,264
25,D,601
26,C,96
27,C,138
28,C,138
29,C,66
30,C,396
31,C,60
32,C,48
33,C,276
34,D,601
35,C,384
36,C,66
37,B,117
38,C,192
39,C,60
40,C,66
41,C,156
42,C,90
43,C,354
44,C,54
45,D,601
46,C,84
47,D,601
48,C,180
49,C,408
50,C,66
51,D,601
52,C,90
53,C,72
54,D,601
55,C,156
56,C,60
57,C,132
58,C,456
59,C,66
60,B,75
61,C,300
62,C,192
63,C,114
64,D,601
65,C,450
66,C,66
67,C,342
68,C,60
69,D,601
70,D,601
71,D,601
72,C,84
73,C,78
74,D,601
75,C,456
76,C,168
77,C,60
78,C,54
79,C,48
