,Winner,NTurns
0,B,291
1,C,90
2,D,601
3,C,84
4,B,423
5,C,48
6,C,210
7,D,601
8,C,84
9,C,108
10,D,601
11,C,102
12,C,72
13,C,204
14,C,90
15,B,153
16,C,228
17,C,66
18,B,99
19,B,123
20,B,153
21,B,153
22,C,48
23,D,601
24,B,111
25,C,426
26,C,72
27,C,78
28,C,72
29,C,108
30,C,114
31,C,420
32,C,102
33,B,195
34,C,84
35,B,105
36,B,135
37,C,78
38,B,375
39,C,342
40,D,601
41,C,66
42,C,204
43,B,333
44,B,159
45,C,216
46,C,78
47,C,438
48,B,237
49,C,78
50,C,102
51,B,111
52,B,585
53,D,601
54,C,600
55,B,171
56,C,54
57,B,183
58,B,273
59,C,48
60,C,66
61,C,330
62,B,171
63,B,75
64,C,324
65,B,201
66,C,396
67,D,601
68,C,54
69,C,138
70,B,153
71,B,477
72,B,135
73,B,261
74,C,108
75,B,147
76,C,324
77,B,555
78,D,601
79,C,120
