,Winner,NTurns
0,B,111
1,C,144
2,C,54
3,C,78
4,C,138
5,C,60
6,C,114
7,C,204
8,C,60
9,C,108
10,C,66
11,C,108
12,C,330
13,C,228
14,C,162
15,C,120
16,C,72
17,C,390
18,B,93
19,C,282
20,C,270
21,C,108
22,C,204
23,C,102
24,C,336
25,C,90
26,C,126
27,C,132
28,C,234
29,B,93
30,C,54
31,C,330
32,C,360
33,C,126
34,B,87
35,D,601
36,C,90
37,C,78
38,B,141
39,C,102
40,C,144
41,C,66
42,C,276
43,C,138
44,D,601
45,B,57
46,C,78
47,B,279
48,D,601
49,C,222
50,C,174
51,C,72
52,C,126
53,B,57
54,D,601
55,C,414
56,C,78
57,D,601
58,D,601
59,C,78
60,C,276
61,D,601
62,C,60
63,D,601
64,C,102
65,C,192
66,C,318
67,C,192
68,C,126
69,D,601
70,C,216
71,C,372
72,C,198
73,C,132
74,C,228
75,C,198
76,C,324
77,C,78
78,C,288
79,D,601
