,Winner,NTurns
0,C,102
1,B,69
2,C,48
3,C,84
4,D,601
5,C,102
6,B,189
7,B,81
8,C,228
9,C,204
10,C,396
11,C,282
12,B,117
13,C,198
14,D,601
15,C,102
16,C,114
17,C,150
18,C,354
19,C,180
20,C,180
21,C,354
22,D,601
23,C,270
24,D,601
25,C,102
26,C,78
27,C,126
28,D,601
29,C,264
30,C,228
31,D,601
32,C,216
33,D,601
34,D,601
35,C,108
36,D,601
37,C,90
38,C,120
39,C,66
40,C,234
41,C,114
42,D,601
43,D,601
44,C,78
45,B,81
46,D,601
47,D,601
48,C,162
49,D,601
50,D,601
51,D,601
52,D,601
53,C,78
54,D,601
55,C,90
56,D,601
57,D,601
58,C,318
59,C,252
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,C,276
66,D,601
67,C,126
68,C,102
69,C,132
70,D,601
71,D,601
72,D,601
73,C,246
74,D,601
75,D,601
76,C,552
77,C,102
78,C,516
79,D,601
