,Winner,NTurns
0,B,81
1,B,123
2,B,117
3,B,93
4,C,126
5,C,174
6,B,111
7,B,69
8,C,96
9,C,144
10,C,96
11,C,84
12,C,192
13,B,135
14,C,96
15,C,66
16,C,108
17,B,105
18,C,60
19,C,300
20,B,129
21,B,327
22,C,78
23,B,51
24,B,129
25,B,111
26,B,147
27,B,255
28,C,90
29,C,90
30,C,222
31,C,84
32,B,285
33,C,90
34,B,105
35,B,219
36,C,102
37,C,120
38,B,237
39,B,105
40,B,201
41,B,189
42,B,489
43,B,81
44,B,99
45,C,78
46,B,81
47,B,105
48,C,102
49,B,327
50,C,66
51,C,246
52,C,150
53,C,90
54,B,117
55,B,63
56,C,60
57,C,198
58,C,348
59,C,348
60,C,432
61,C,78
62,B,93
63,B,345
64,C,144
65,B,285
66,C,66
67,C,174
68,B,81
69,B,105
70,B,237
71,C,72
72,C,108
73,B,285
74,B,123
75,C,156
76,B,183
77,C,138
78,B,519
79,B,369
