,Winner,NTurns
0,B,207
1,C,138
2,C,138
3,B,81
4,C,186
5,B,63
6,C,90
7,B,93
8,C,138
9,B,93
10,B,87
11,C,138
12,C,174
13,C,144
14,B,165
15,D,601
16,B,189
17,B,87
18,C,108
19,C,276
20,C,48
21,C,234
22,B,81
23,C,54
24,C,54
25,C,408
26,C,444
27,C,102
28,C,216
29,C,78
30,D,601
31,B,93
32,C,60
33,B,99
34,C,132
35,C,294
36,B,117
37,B,75
38,C,372
39,B,105
40,C,66
41,C,66
42,B,141
43,C,60
44,B,69
45,C,504
46,C,108
47,D,601
48,C,276
49,C,216
50,C,528
51,C,108
52,C,324
53,C,168
54,C,138
55,C,174
56,C,90
57,C,102
58,C,162
59,B,63
60,B,99
61,C,180
62,C,144
63,B,75
64,C,204
65,C,60
66,C,90
67,B,309
68,C,156
69,C,582
70,C,258
71,B,207
72,C,60
73,C,264
74,B,69
75,C,162
76,B,87
77,D,601
78,C,426
79,B,129
