,Winner,NTurns
0,B,69
1,B,63
2,B,69
3,C,288
4,B,63
5,B,75
6,C,162
7,B,57
8,D,601
9,C,204
10,B,69
11,B,63
12,B,171
13,B,75
14,C,72
15,B,99
16,C,222
17,B,57
18,D,601
19,C,108
20,B,57
21,B,63
22,C,108
23,B,51
24,B,69
25,B,57
26,D,601
27,B,195
28,D,601
29,B,45
30,B,57
31,B,129
32,B,99
33,C,318
34,B,51
35,C,264
36,D,601
37,B,153
38,B,111
39,C,126
40,B,369
41,C,186
42,B,63
43,B,327
44,B,75
45,B,51
46,B,351
47,C,288
48,B,99
49,B,99
50,B,111
51,C,240
52,B,45
53,B,81
54,B,75
55,C,462
56,C,270
57,C,198
58,D,601
59,B,75
60,C,234
61,B,75
62,C,396
63,C,360
64,B,75
65,B,63
66,C,312
67,B,81
68,B,141
69,B,405
70,C,96
71,B,63
72,B,69
73,C,288
74,D,601
75,B,63
76,B,171
77,D,601
78,B,81
79,C,342
