,Winner,NTurns
0,B,129
1,D,601
2,D,601
3,C,84
4,D,601
5,B,51
6,D,601
7,D,601
8,B,129
9,D,601
10,D,601
11,D,601
12,D,601
13,D,601
14,B,105
15,D,601
16,D,601
17,D,601
18,D,601
19,C,78
20,D,601
21,D,601
22,B,75
23,D,601
24,C,300
25,D,601
26,B,51
27,D,601
28,D,601
29,D,601
30,D,601
31,D,601
32,D,601
33,D,601
34,D,601
35,D,601
36,B,45
37,B,75
38,D,601
39,D,601
40,D,601
41,D,601
42,D,601
43,D,601
44,D,601
45,B,147
46,D,601
47,D,601
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,D,601
54,D,601
55,C,126
56,C,180
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,C,174
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,C,144
77,D,601
78,D,601
79,C,276
