,Winner,NTurns
0,B,99
1,C,348
2,B,111
3,B,87
4,D,601
5,B,81
6,B,93
7,D,601
8,B,117
9,B,57
10,B,111
11,D,601
12,D,601
13,B,63
14,B,69
15,B,99
16,C,162
17,B,135
18,C,366
19,C,72
20,B,117
21,C,240
22,B,153
23,C,132
24,C,282
25,D,601
26,B,81
27,C,408
28,C,294
29,B,63
30,B,117
31,C,60
32,C,180
33,C,198
34,C,432
35,D,601
36,C,54
37,D,601
38,B,69
39,B,141
40,D,601
41,B,63
42,C,462
43,C,180
44,D,601
45,C,126
46,B,45
47,B,99
48,D,601
49,B,87
50,D,601
51,C,390
52,B,81
53,D,601
54,C,84
55,C,90
56,D,601
57,D,601
58,B,51
59,B,159
60,B,87
61,B,99
62,D,601
63,C,474
64,C,318
65,B,123
66,C,150
67,C,54
68,C,570
69,C,348
70,C,360
71,B,105
72,B,249
73,B,123
74,C,60
75,B,69
76,D,601
77,D,601
78,D,601
79,C,306
