,Winner,NTurns
0,B,141
1,B,129
2,B,351
3,B,81
4,B,225
5,C,384
6,B,87
7,B,357
8,B,129
9,B,93
10,C,120
11,B,99
12,B,405
13,B,243
14,B,213
15,B,111
16,B,81
17,B,273
18,B,195
19,B,465
20,B,351
21,B,135
22,B,69
23,C,228
24,B,267
25,B,363
26,B,129
27,C,132
28,B,225
29,B,195
30,C,366
31,B,207
32,C,282
33,B,195
34,B,159
35,B,213
36,C,288
37,C,216
38,C,252
39,B,93
40,B,129
41,C,318
42,B,393
43,B,225
44,B,333
45,B,447
46,B,189
47,B,165
48,C,234
49,B,405
50,B,117
51,B,291
52,C,294
53,B,99
54,B,93
55,D,601
56,B,153
57,D,601
58,B,459
59,B,105
60,B,93
61,C,180
62,B,255
63,C,378
64,B,93
65,B,213
66,B,471
67,C,528
68,D,601
69,B,429
70,B,597
71,C,570
72,B,201
73,B,363
74,D,601
75,B,327
76,B,399
77,B,213
78,B,543
79,B,177
