,Winner,NTurns
0,C,126
1,C,78
2,C,84
3,C,120
4,C,96
5,C,72
6,C,132
7,C,132
8,C,78
9,C,108
10,C,120
11,C,120
12,C,120
13,C,102
14,C,102
15,C,96
16,C,144
17,C,96
18,C,114
19,C,90
20,C,138
21,C,102
22,C,78
23,C,108
24,C,96
25,C,114
26,C,114
27,C,174
28,C,138
29,C,90
30,C,162
31,C,84
32,C,126
33,D,601
34,C,114
35,C,132
36,C,66
37,C,66
38,C,96
39,C,132
40,C,78
41,C,72
42,B,93
43,C,150
44,C,240
45,C,108
46,C,78
47,C,96
48,C,90
49,C,150
50,C,102
51,C,60
52,C,204
53,C,60
54,C,72
55,C,186
56,C,90
57,C,156
58,C,90
59,D,601
60,C,204
61,C,144
62,C,108
63,C,78
64,C,96
65,C,108
66,C,162
67,C,156
68,C,126
69,C,138
70,C,96
71,C,186
72,D,601
73,C,96
74,C,138
75,C,120
76,C,66
77,C,108
78,D,601
79,C,138
