,Winner,NTurns
0,B,147
1,B,93
2,B,111
3,C,120
4,B,111
5,B,87
6,C,72
7,B,165
8,B,231
9,B,147
10,B,225
11,B,105
12,B,99
13,B,93
14,B,243
15,C,90
16,B,105
17,B,123
18,B,183
19,B,105
20,B,129
21,B,93
22,B,117
23,B,171
24,B,159
25,B,123
26,B,117
27,B,111
28,B,225
29,B,267
30,B,87
31,B,99
32,B,117
33,B,123
34,B,261
35,B,75
36,B,195
37,B,123
38,B,111
39,B,459
40,B,69
41,B,279
42,B,117
43,B,177
44,B,87
45,B,105
46,B,243
47,B,93
48,B,417
49,B,75
50,B,159
51,B,171
52,B,117
53,B,153
54,B,111
55,B,171
56,B,315
57,B,183
58,B,165
59,B,219
60,B,147
61,B,75
62,C,264
63,B,411
64,B,153
65,B,87
66,B,117
67,B,87
68,B,231
69,B,549
70,B,105
71,B,369
72,B,249
73,B,93
74,B,87
75,B,567
76,B,105
77,B,171
78,B,123
79,B,87
