,Winner,NTurns
0,C,186
1,D,601
2,C,246
3,C,120
4,C,126
5,D,601
6,C,156
7,C,192
8,C,366
9,C,102
10,C,216
11,C,384
12,C,312
13,D,601
14,C,264
15,D,601
16,B,207
17,C,276
18,C,186
19,C,186
20,D,601
21,C,90
22,C,414
23,C,282
24,C,132
25,C,162
26,C,492
27,C,132
28,D,601
29,C,186
30,C,114
31,C,66
32,C,240
33,D,601
34,C,378
35,D,601
36,B,117
37,D,601
38,B,387
39,C,96
40,D,601
41,C,126
42,C,582
43,C,54
44,D,601
45,D,601
46,B,81
47,C,120
48,C,120
49,C,342
50,C,102
51,C,354
52,D,601
53,C,150
54,C,216
55,B,231
56,D,601
57,D,601
58,D,601
59,D,601
60,C,282
61,D,601
62,C,318
63,C,498
64,C,588
65,C,450
66,D,601
67,C,384
68,C,126
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,C,474
76,C,96
77,C,336
78,D,601
79,C,180
