,Winner,NTurns
0,C,234
1,C,168
2,C,78
3,B,225
4,C,156
5,C,156
6,C,246
7,D,601
8,D,601
9,C,126
10,C,108
11,B,165
12,C,468
13,D,601
14,C,270
15,C,498
16,C,474
17,B,63
18,B,339
19,C,126
20,C,312
21,C,120
22,C,72
23,C,258
24,D,601
25,C,102
26,D,601
27,D,601
28,C,84
29,C,192
30,D,601
31,C,102
32,D,601
33,D,601
34,C,300
35,C,150
36,C,198
37,C,234
38,B,99
39,C,108
40,D,601
41,C,120
42,C,252
43,C,198
44,C,198
45,C,126
46,D,601
47,C,264
48,C,168
49,D,601
50,C,462
51,C,132
52,D,601
53,D,601
54,D,601
55,C,156
56,D,601
57,C,276
58,C,138
59,C,132
60,C,384
61,B,81
62,D,601
63,D,601
64,C,90
65,D,601
66,C,588
67,C,378
68,D,601
69,B,81
70,C,204
71,C,570
72,C,582
73,C,264
74,D,601
75,C,234
76,C,234
77,D,601
78,D,601
79,C,252
