,Winner,NTurns
0,B,159
1,B,105
2,D,601
3,B,333
4,B,117
5,D,601
6,D,601
7,B,237
8,B,231
9,B,147
10,B,213
11,D,601
12,B,549
13,D,601
14,D,601
15,D,601
16,B,213
17,B,105
18,B,93
19,B,321
20,D,601
21,D,601
22,D,601
23,B,147
24,B,111
25,D,601
26,B,123
27,B,165
28,D,601
29,D,601
30,B,99
31,B,471
32,D,601
33,B,117
34,B,243
35,B,351
36,D,601
37,B,105
38,B,99
39,D,601
40,B,339
41,B,129
42,B,279
43,B,219
44,D,601
45,B,171
46,D,601
47,D,601
48,B,201
49,D,601
50,B,153
51,D,601
52,D,601
53,B,195
54,D,601
55,B,201
56,B,519
57,B,111
58,D,601
59,D,601
60,B,327
61,B,321
62,B,225
63,B,333
64,B,123
65,D,601
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,B,189
74,B,129
75,D,601
76,D,601
77,D,601
78,B,195
79,D,601
