,Winner,NTurns
0,B,129
1,D,601
2,B,153
3,D,601
4,B,129
5,B,105
6,D,601
7,B,111
8,B,279
9,B,135
10,B,111
11,B,123
12,D,601
13,D,601
14,B,105
15,B,159
16,B,141
17,B,225
18,B,165
19,B,189
20,B,105
21,B,177
22,B,159
23,D,601
24,B,111
25,B,195
26,B,105
27,D,601
28,B,147
29,D,601
30,B,117
31,B,243
32,B,147
33,D,601
34,B,141
35,D,601
36,B,189
37,B,177
38,D,601
39,B,207
40,B,99
41,B,129
42,D,601
43,D,601
44,B,75
45,B,201
46,B,87
47,D,601
48,B,165
49,D,601
50,D,601
51,D,601
52,B,123
53,B,159
54,B,129
55,B,129
56,D,601
57,D,601
58,B,99
59,B,219
60,B,111
61,D,601
62,B,123
63,D,601
64,B,201
65,D,601
66,D,601
67,B,105
68,B,321
69,D,601
70,B,129
71,D,601
72,D,601
73,D,601
74,D,601
75,B,123
76,D,601
77,D,601
78,B,117
79,B,201
