,Winner,NTurns
0,C,174
1,B,141
2,B,183
3,B,159
4,B,117
5,B,141
6,B,105
7,B,63
8,B,63
9,B,183
10,B,87
11,B,111
12,B,165
13,B,117
14,B,123
15,B,153
16,B,123
17,C,162
18,B,189
19,B,147
20,B,123
21,B,273
22,B,99
23,B,195
24,B,213
25,B,75
26,B,135
27,B,141
28,B,63
29,B,111
30,B,117
31,B,87
32,B,117
33,B,117
34,B,231
35,B,423
36,B,165
37,B,141
38,B,93
39,B,171
40,B,87
41,C,120
42,B,345
43,B,219
44,B,189
45,B,141
46,B,159
47,B,267
48,B,99
49,B,123
50,B,123
51,B,201
52,B,129
53,B,321
54,B,207
55,B,177
56,B,225
57,B,99
58,B,327
59,B,153
60,C,96
61,B,81
62,B,183
63,B,219
64,B,165
65,B,129
66,B,219
67,B,495
68,B,459
69,B,231
70,B,129
71,B,387
72,B,399
73,B,93
74,B,243
75,B,255
76,B,231
77,B,237
78,B,201
79,B,117
