,Winner,NTurns
0,C,108
1,C,174
2,C,84
3,C,108
4,D,601
5,C,222
6,C,54
7,D,601
8,D,601
9,C,144
10,C,132
11,D,601
12,C,132
13,C,210
14,C,216
15,C,90
16,C,198
17,C,228
18,C,420
19,C,270
20,C,324
21,C,102
22,C,282
23,C,114
24,B,585
25,C,114
26,C,342
27,C,384
28,C,114
29,C,372
30,C,552
31,C,162
32,D,601
33,D,601
34,C,222
35,D,601
36,D,601
37,C,150
38,C,78
39,C,138
40,D,601
41,D,601
42,C,594
43,C,282
44,C,132
45,C,246
46,C,276
47,C,234
48,C,408
49,D,601
50,C,234
51,C,204
52,D,601
53,D,601
54,C,144
55,D,601
56,C,312
57,D,601
58,C,132
59,D,601
60,B,141
61,C,444
62,C,84
63,D,601
64,B,195
65,D,601
66,D,601
67,D,601
68,C,108
69,C,102
70,C,198
71,D,601
72,D,601
73,D,601
74,C,198
75,C,198
76,C,216
77,C,210
78,D,601
79,D,601
