,Winner,NTurns
0,C,252
1,C,144
2,C,510
3,C,174
4,C,204
5,C,426
6,C,240
7,C,318
8,C,90
9,C,462
10,D,601
11,C,288
12,C,150
13,C,186
14,C,132
15,D,601
16,C,126
17,C,300
18,C,138
19,D,601
20,C,276
21,D,601
22,C,138
23,C,114
24,C,114
25,C,126
26,C,126
27,C,276
28,D,601
29,D,601
30,D,601
31,C,444
32,C,108
33,C,198
34,C,114
35,C,174
36,D,601
37,B,261
38,C,312
39,C,234
40,D,601
41,C,150
42,D,601
43,C,180
44,C,186
45,C,324
46,C,342
47,C,96
48,C,222
49,B,117
50,C,96
51,D,601
52,D,601
53,C,240
54,C,582
55,C,150
56,B,111
57,D,601
58,D,601
59,C,96
60,C,228
61,D,601
62,B,453
63,D,601
64,B,141
65,B,183
66,D,601
67,C,168
68,D,601
69,D,601
70,C,336
71,C,216
72,C,222
73,C,264
74,D,601
75,D,601
76,B,135
77,D,601
78,D,601
79,D,601
