,Winner,NTurns
0,B,207
1,B,99
2,B,105
3,D,601
4,D,601
5,D,601
6,B,141
7,B,183
8,D,601
9,B,105
10,B,177
11,B,273
12,B,327
13,D,601
14,D,601
15,D,601
16,D,601
17,B,177
18,B,321
19,D,601
20,D,601
21,D,601
22,C,288
23,B,87
24,D,601
25,D,601
26,B,285
27,B,153
28,B,123
29,B,135
30,D,601
31,B,117
32,B,141
33,B,117
34,D,601
35,C,198
36,B,435
37,D,601
38,B,237
39,D,601
40,B,129
41,D,601
42,D,601
43,B,309
44,B,243
45,D,601
46,D,601
47,D,601
48,B,165
49,B,333
50,B,99
51,B,525
52,B,315
53,D,601
54,B,489
55,B,81
56,D,601
57,B,111
58,B,519
59,D,601
60,D,601
61,D,601
62,B,171
63,D,601
64,D,601
65,B,141
66,D,601
67,B,93
68,C,384
69,D,601
70,D,601
71,D,601
72,B,129
73,D,601
74,D,601
75,B,117
76,B,225
77,D,601
78,D,601
79,D,601
