,Winner,NTurns
0,B,165
1,B,99
2,D,601
3,B,225
4,B,105
5,B,99
6,D,601
7,B,219
8,D,601
9,B,93
10,D,601
11,B,117
12,D,601
13,B,201
14,B,135
15,B,213
16,B,153
17,B,141
18,D,601
19,D,601
20,D,601
21,D,601
22,B,93
23,B,123
24,D,601
25,B,225
26,B,135
27,B,183
28,D,601
29,B,135
30,B,111
31,D,601
32,D,601
33,B,141
34,D,601
35,D,601
36,D,601
37,D,601
38,B,159
39,B,99
40,D,601
41,D,601
42,D,601
43,B,123
44,D,601
45,D,601
46,D,601
47,B,189
48,B,303
49,B,183
50,D,601
51,B,123
52,B,255
53,D,601
54,B,183
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,B,147
62,D,601
63,D,601
64,D,601
65,B,159
66,B,243
67,D,601
68,D,601
69,B,159
70,D,601
71,D,601
72,B,189
73,D,601
74,B,291
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
