,Winner,NTurns
0,C,258
1,C,192
2,C,120
3,B,123
4,C,126
5,C,294
6,C,498
7,C,156
8,C,210
9,C,84
10,C,120
11,C,342
12,C,72
13,B,357
14,C,342
15,C,168
16,C,168
17,C,72
18,C,366
19,D,601
20,B,225
21,B,171
22,C,534
23,C,90
24,C,192
25,C,96
26,D,601
27,C,96
28,B,387
29,B,273
30,C,180
31,C,180
32,B,123
33,D,601
34,D,601
35,C,198
36,C,174
37,C,432
38,C,156
39,D,601
40,D,601
41,C,288
42,C,360
43,C,450
44,D,601
45,C,90
46,C,150
47,C,60
48,D,601
49,C,192
50,D,601
51,C,276
52,C,354
53,C,102
54,C,366
55,C,390
56,D,601
57,C,120
58,D,601
59,C,90
60,C,210
61,D,601
62,C,522
63,D,601
64,D,601
65,C,84
66,D,601
67,C,576
68,D,601
69,C,108
70,C,468
71,D,601
72,C,186
73,D,601
74,C,114
75,B,99
76,C,402
77,B,63
78,D,601
79,C,438
