,Winner,NTurns
0,C,174
1,C,150
2,C,48
3,C,96
4,C,282
5,C,486
6,C,72
7,C,72
8,C,66
9,C,144
10,B,207
11,C,156
12,C,132
13,C,114
14,C,252
15,C,156
16,C,132
17,C,210
18,C,198
19,C,162
20,C,348
21,C,114
22,C,222
23,C,96
24,C,198
25,C,180
26,C,90
27,C,84
28,C,138
29,C,162
30,C,60
31,C,144
32,C,186
33,C,210
34,C,150
35,C,114
36,C,234
37,C,456
38,B,351
39,C,234
40,C,210
41,C,234
42,C,210
43,C,132
44,C,150
45,B,105
46,B,405
47,C,78
48,B,231
49,C,156
50,C,474
51,C,144
52,C,138
53,C,372
54,C,180
55,C,168
56,C,198
57,C,102
58,B,123
59,C,60
60,C,210
61,C,324
62,C,384
63,C,270
64,D,601
65,C,408
66,C,42
67,C,186
68,C,198
69,C,72
70,C,108
71,C,90
72,C,396
73,C,174
74,C,300
75,C,222
76,D,601
77,C,300
78,B,435
79,C,366
