,Winner,NTurns
0,C,120
1,C,78
2,C,114
3,D,601
4,C,84
5,C,138
6,C,102
7,C,90
8,C,66
9,C,156
10,C,102
11,C,126
12,C,192
13,C,114
14,C,108
15,C,174
16,C,108
17,C,78
18,C,96
19,C,108
20,C,90
21,C,78
22,C,72
23,C,102
24,C,162
25,C,132
26,C,264
27,C,114
28,C,108
29,C,90
30,C,114
31,C,84
32,D,601
33,C,108
34,C,96
35,C,102
36,C,108
37,C,150
38,C,96
39,C,192
40,C,288
41,C,114
42,C,156
43,C,90
44,C,90
45,C,114
46,C,138
47,C,108
48,C,192
49,C,168
50,D,601
51,C,150
52,C,138
53,C,72
54,C,96
55,C,114
56,C,180
57,C,108
58,C,114
59,C,72
60,C,84
61,C,108
62,C,114
63,C,96
64,C,120
65,D,601
66,C,66
67,C,84
68,C,66
69,C,96
70,C,84
71,D,601
72,C,174
73,C,138
74,C,114
75,C,108
76,C,84
77,C,84
78,C,108
79,C,156
