,Winner,NTurns
0,C,114
1,C,84
2,C,66
3,C,156
4,C,144
5,C,120
6,C,84
7,C,114
8,C,90
9,C,132
10,C,90
11,C,96
12,C,168
13,C,114
14,C,96
15,C,84
16,C,168
17,C,114
18,C,132
19,C,156
20,C,120
21,C,114
22,C,108
23,C,120
24,C,132
25,C,96
26,C,132
27,C,114
28,C,66
29,C,138
30,C,108
31,C,102
32,C,336
33,C,54
34,C,102
35,C,108
36,C,126
37,C,222
38,C,72
39,C,90
40,C,114
41,C,108
42,C,138
43,C,120
44,C,150
45,C,96
46,C,168
47,C,120
48,C,114
49,D,601
50,C,132
51,C,138
52,C,102
53,C,120
54,C,108
55,C,102
56,C,120
57,C,168
58,D,601
59,C,102
60,C,126
61,C,102
62,C,432
63,C,144
64,C,120
65,C,102
66,C,78
67,C,54
68,C,72
69,D,601
70,D,601
71,D,601
72,C,150
73,C,96
74,C,114
75,D,601
76,C,150
77,C,78
78,C,84
79,C,156
