,Winner,NTurns
0,B,117
1,C,144
2,B,207
3,C,414
4,D,601
5,B,87
6,C,150
7,C,126
8,C,240
9,C,366
10,B,147
11,C,210
12,B,93
13,C,228
14,B,99
15,C,174
16,B,243
17,D,601
18,C,336
19,C,102
20,D,601
21,B,93
22,C,114
23,C,132
24,B,123
25,C,186
26,C,210
27,D,601
28,C,108
29,C,156
30,B,105
31,C,252
32,B,69
33,C,132
34,C,246
35,D,601
36,C,180
37,C,174
38,D,601
39,C,78
40,D,601
41,B,123
42,C,54
43,C,390
44,C,252
45,C,162
46,D,601
47,C,84
48,C,144
49,C,162
50,C,72
51,D,601
52,B,183
53,D,601
54,B,363
55,C,360
56,C,204
57,C,96
58,B,81
59,C,216
60,C,174
61,C,300
62,D,601
63,C,66
64,D,601
65,B,159
66,C,384
67,D,601
68,B,213
69,B,123
70,D,601
71,B,147
72,C,270
73,C,252
74,D,601
75,C,330
76,B,189
77,D,601
78,C,258
79,C,216
