,Winner,NTurns
0,C,216
1,C,264
2,C,138
3,B,99
4,C,426
5,B,219
6,C,126
7,C,168
8,C,354
9,C,138
10,C,252
11,C,186
12,C,300
13,C,192
14,C,264
15,C,180
16,C,162
17,C,132
18,C,234
19,C,138
20,C,270
21,C,174
22,C,102
23,C,204
24,B,339
25,C,216
26,C,102
27,C,408
28,C,138
29,C,198
30,C,120
31,C,216
32,C,150
33,C,126
34,C,498
35,C,246
36,C,108
37,C,534
38,C,360
39,C,66
40,C,138
41,C,102
42,C,180
43,C,264
44,C,198
45,C,426
46,C,330
47,C,342
48,C,324
49,C,96
50,C,192
51,C,288
52,C,198
53,C,144
54,C,294
55,C,348
56,C,264
57,C,174
58,C,186
59,C,348
60,C,186
61,C,186
62,C,210
63,C,174
64,C,300
65,C,180
66,C,396
67,C,450
68,C,270
69,C,90
70,C,456
71,C,342
72,C,378
73,D,601
74,C,126
75,C,300
76,C,120
77,C,528
78,C,384
79,C,156
