,Winner,NTurns
0,C,120
1,C,150
2,D,601
3,C,120
4,C,138
5,C,90
6,C,90
7,C,138
8,C,138
9,C,84
10,C,138
11,C,132
12,C,114
13,C,168
14,C,96
15,C,96
16,C,78
17,C,72
18,C,102
19,D,601
20,C,72
21,C,132
22,C,204
23,C,150
24,C,156
25,D,601
26,C,102
27,C,162
28,C,114
29,C,102
30,C,138
31,C,144
32,C,126
33,C,138
34,C,120
35,C,174
36,C,180
37,C,108
38,C,174
39,D,601
40,D,601
41,C,144
42,C,72
43,C,132
44,C,132
45,C,132
46,D,601
47,C,48
48,C,162
49,C,126
50,C,84
51,D,601
52,C,90
53,C,114
54,C,102
55,D,601
56,C,132
57,C,114
58,C,132
59,C,78
60,C,96
61,C,84
62,C,126
63,D,601
64,C,102
65,D,601
66,C,108
67,C,144
68,C,90
69,D,601
70,D,601
71,C,144
72,C,150
73,C,192
74,C,150
75,C,174
76,C,84
77,C,150
78,D,601
79,D,601
